"Date","Price","Open","High","Low","Vol.","Change %"
"06/27/2023","23,520.0","23,539.0","23,541.5","23,515.0","","-0.04%"
"06/26/2023","23,530.0","23,525.0","23,540.0","23,490.0","","0.06%"
"06/23/2023","23,515.0","23,520.0","23,527.5","23,497.5","","0.00%"
"06/22/2023","23,515.0","23,502.5","23,527.5","23,502.0","","0.04%"
"06/21/2023","23,505.0","23,525.0","23,531.5","23,510.0","","-0.06%"
"06/20/2023","23,520.0","23,536.0","23,536.0","23,517.5","","0.00%"
"06/19/2023","23,520.0","23,530.5","23,531.5","23,506.0","","0.00%"
"06/16/2023","23,520.0","23,530.0","23,542.5","23,512.5","","-0.02%"
"06/15/2023","23,525.0","23,512.5","23,546.5","23,479.5","","0.11%"
"06/14/2023","23,500.0","23,505.5","23,514.0","23,503.0","","0.02%"
"06/13/2023","23,495.0","23,498.0","23,504.0","23,482.5","","0.06%"
"06/12/2023","23,480.0","23,472.5","23,488.5","23,470.5","","0.04%"
"06/09/2023","23,470.0","23,487.5","23,495.0","23,477.0","","-0.09%"
"06/08/2023","23,490.0","23,487.5","23,499.0","23,482.5","","0.02%"
"06/07/2023","23,485.0","23,485.0","23,492.5","23,476.5","","0.00%"
"06/06/2023","23,485.0","23,495.0","23,500.0","23,470.0","","-0.04%"
"06/05/2023","23,495.0","23,487.5","23,508.5","23,472.5","","0.09%"
"06/02/2023","23,475.0","23,480.0","23,483.5","23,455.0","","-0.04%"
"06/01/2023","23,485.0","23,491.0","23,492.5","23,476.5","","0.00%"
"05/31/2023","23,485.0","23,485.0","23,497.5","23,485.0","","0.02%"
"05/30/2023","23,480.0","23,477.5","23,492.0","23,472.5","","0.06%"
"05/29/2023","23,465.0","23,482.5","23,484.0","23,465.0","","-0.04%"
"05/26/2023","23,475.0","23,477.5","23,485.0","23,472.5","","0.02%"
"05/25/2023","23,470.0","23,485.0","23,492.5","23,469.0","","0.00%"
"05/24/2023","23,470.0","23,495.0","23,510.0","23,445.0","","0.00%"
